timestamp,animal-id,gpsX,gpsY
110.58,29,119.2653,812.4414
115.6,29,117.353,802.7673
120.62,29,113.3721,792.3166
125.64,29,117.1512,783.3588
130.66,29,125.5572,783.4341
135.68,29,130.5128,790.4048
140.7,28,59.10231,816.1559
140.7,29,120.6849,791.5175
145.72,28,59.10231,816.1559
145.72,29,124.8562,783.3088
150.74,28,59.10231,816.1559
150.74,29,133.2749,782.893
155.76,28,59.10231,816.1559
155.76,29,139.4107,776.861
160.78,12,70.05681,792.0052
160.78,28,59.10231,816.1559
160.78,29,129.9808,780.5683
165.8,12,70.05681,792.0052
165.8,28,59.10231,816.1559
165.8,29,131.36,788.7711
170.82,12,70.05681,792.0052
170.82,28,59.10231,816.1559
170.82,29,141.2824,788.1323
175.84,12,70.05646,792.3345
175.84,28,59.10231,816.1559
175.84,29,96.45222,788.6915
180.86,12,70.05609,797.4283
180.86,28,59.10231,816.1559
180.86,29,83.52394,806.4876
185.88,12,70.05609,802.9513
185.88,28,59.10231,816.1559
185.88,29,78.51141,824.9168
190.9,10,223.4455,995.7501
190.9,12,70.05525,803.8229
190.9,28,59.10231,816.1559
190.9,29,78.42193,825.0352
195.92,10,223.4455,995.7501
195.92,12,70.05525,803.8229
195.92,28,59.10231,816.1559
195.92,29,78.42194,825.0352
200.94,10,223.4455,995.7501
200.94,12,70.05525,803.8229
200.94,28,59.10231,816.1559
200.94,29,78.42194,825.0352
205.96,10,223.4455,995.7501
205.96,12,70.05525,803.8229
205.96,28,59.10231,816.1559
205.96,29,78.42194,825.0352
210.98,10,223.4455,995.7501
210.98,12,70.05525,803.8229
210.98,28,59.10231,816.1559
210.98,29,78.42194,825.0352
216.0,1,361.4713,995.7503
216.0,10,223.4455,995.7501
216.0,12,70.05525,803.8229
216.0,28,59.10231,816.1559
216.0,29,78.42194,825.0352
221.02,1,361.4713,995.7503
221.02,10,223.4455,995.7501
221.02,12,70.05525,803.8229
221.02,28,59.10231,816.1559
221.02,29,78.42194,825.0352
226.04,1,361.4713,995.7503
226.04,10,223.4455,995.7501
226.04,12,70.05525,803.8229
226.04,28,59.10231,816.1559
226.04,29,78.42194,825.0352
231.06,1,361.4713,995.7503
231.06,10,223.4455,995.7501
231.06,12,70.05525,803.8229
231.06,28,59.10231,816.1559
231.06,29,78.42194,825.0352
236.08,1,361.4713,995.7503
236.08,10,223.4455,995.7501
236.08,12,70.05525,803.8229
236.08,28,59.10231,816.1559
236.08,29,78.42194,825.0352
241.1,1,361.4713,995.7503
241.1,10,223.4455,995.7501
241.1,12,70.05525,803.8229
241.1,28,59.10231,816.1559
241.1,29,78.42194,825.0352
246.12,1,361.4713,995.7503
246.12,4,835.0182,995.75
246.12,10,223.4455,995.7501
246.12,12,70.05525,803.8229
246.12,28,59.10231,816.1559
246.12,29,78.42194,825.0352
251.14,1,361.4713,995.7503
251.14,4,835.0182,995.75
251.14,10,223.4455,995.7501
251.14,12,70.05525,803.8229
251.14,28,59.10231,816.1559
251.14,29,78.42194,825.0352
256.16,1,361.4713,995.7503
256.16,4,835.0182,995.75
256.16,10,223.4455,995.7501
256.16,12,70.05525,803.8229
256.16,28,59.10231,816.1559
256.16,29,78.42194,825.0352
261.18,1,361.4713,995.7503
261.18,4,835.0182,995.75
261.18,10,223.4455,995.7501
261.18,12,70.05525,803.8229
261.18,28,59.10231,816.1559
261.18,29,78.42194,825.0352
266.2,1,361.4713,995.7503
266.2,4,835.0182,995.75
266.2,10,223.4455,995.7501
266.2,12,70.05525,803.8229
266.2,22,660.3906,998.45
266.2,28,59.10231,816.1559
266.2,29,78.42194,825.0352
271.22,1,361.4713,995.7504
271.22,4,835.0182,995.75
271.22,10,223.4455,995.7501
271.22,12,70.05525,803.8229
271.22,22,660.3906,998.45
271.22,28,59.10231,816.1559
271.22,29,78.42194,825.0352
276.24,1,361.4713,995.7504
276.24,4,835.0182,995.75
276.24,10,223.4455,995.7501
276.24,12,70.05525,803.8229
276.24,22,660.3906,998.45
276.24,28,59.10231,816.1559
276.24,29,78.42194,825.0352
281.26,1,361.4713,995.7504
281.26,4,835.0182,995.75
281.26,10,223.4455,995.7501
281.26,12,70.05525,803.8229
281.26,22,660.3906,998.45
281.26,28,59.10231,816.1559
281.26,29,78.42194,825.0352
286.28,1,361.4713,995.7504
286.28,4,835.0182,995.75
286.28,10,223.4455,995.7501
286.28,12,70.05525,803.8229
286.28,22,660.3906,998.45
286.28,28,59.10231,816.1559
286.28,29,78.42194,825.0352
291.3,1,361.4713,995.7504
291.3,4,835.0182,995.75
291.3,10,223.4455,995.7501
291.3,12,70.05525,803.8229
291.3,22,660.3906,998.45
291.3,28,59.10231,816.1559
291.3,29,78.42194,825.0352
296.32,1,361.4713,995.7504
296.32,4,835.0182,995.75
296.32,10,223.4455,995.7501
296.32,12,70.05525,803.8229
296.32,17,184.499,953.2908
296.32,22,660.3906,998.45
296.32,28,59.10231,816.1559
296.32,29,78.42194,825.0352
301.34,1,361.4713,995.7504
301.34,4,835.0182,995.75
301.34,10,223.4455,995.7501
301.34,12,70.05525,803.8229
301.34,17,184.4992,953.2909
